segment_id,start,end,transcript,asr_confidence
268,803.92,804.32,About that?,0.965
269,804.44,806.66,"About two centimeters, okay.",0.7495
270,807.22,808.36,Two's not very high at all though.,0.6297
271,809.4,810.95,This is about two.,0.7473
272,812.9,819.43,We'll say 2.5.,0.7883
273,820.59,821.05,Okay.,0.697
274,822.09,824.04,So we have it within cost anyway.,0.8983
275,824.08,828.78,"So yeah, project evaluation is this point.",0.8057
276,832.93,834.89,Right.,0.739
277,836.73,838.63,"Okay, so can we close that?",0.741
278,838.67,841.29,This is what the final spec is gonna be.,0.7618
279,841.79,845.56,"So I'm just gonna have to, yeah, that's fine, that's fine.",0.517
280,846.54,856.25,"It's probably just, I don't know if it's worth getting into, but just in that we want this to be stylish, should we think a little bit more out of the box in terms of a button grid?",0.7218
281,856.69,866.26,"Because I've seen there's lots of devices out there that instead of taking your standard nine square grid, and they have it sort of stylized or in a different concept",0.8452
282,866.24,868.78,I think that's something that's very hard to catch.,0.8841
283,869.63,872.39,So you restrict the number of people who want to try something.,0.6565
284,873.27,875.69,The look and the color is something which is cool.,0.8366
285,876.03,879.3,I think that there's also that factor of if it's too unfamiliar.,0.7324
286,880.96,883.38,"Because when you put it on the shelf, square buttons.",0.5836
287,883.4,888.57,"Yeah, button shape might be a good idea to change rather than positioning.",0.8079
288,888.61,894.05,Because I think positioning is kind of ingrained into the telephone kind of.,0.5465
289,894.61,896.63,"Okay, right.",0.735
290,896.65,921.12,"So at this point, we discuss how satisfied we all are with these four points with the room for creativity in the project and leadership and teamwork and the stuff we had around us, I guess.",0.7434
291,921.14,921.54,Let me see.,0.3377
292,923.4,930.98,Do you want me to do my design evaluation last?,0.7498
293,932.18,937.69,"Yeah, go for that first.",0.6652
294,937.77,942.72,"I wasn't entirely sure what he was supposed to be doing that, but you go for it.",0.6492
295,943.15,946.4,"All right, so the way this works, I'm going to need to plug into PowerPoint.",0.5986
296,946.82,950.28,I'll try and do it as quick as possible.,0.6311
297,951.0,953.43,I'll just go over your head if that's okay.,0.6612
298,954.93,956.09,I don't think you need the power.,0.8253
299,956.77,957.08,What's that?,0.623
300,958.0,958.94,"No, it's okay.",0.536
301,959.02,960.14,I don't need the power point?,0.5755
302,960.16,961.74,"No, the power cord itself.",0.8396
303,961.92,962.76,"Oh, of course.",0.3593
304,962.78,965.03,So you have a bit more freedom.,0.3574
305,965.05,965.55,A bit more.,0.6477
306,971.24,971.76,Okay.,0.483
307,971.94,977.57,So what this is for us to use kind of like a,0.6768
308,979.62,995.68,I've reviewed all of the points of discussion from the beginning and used that as a criteria of evaluation for the current design or the plan so we can review that.,0.8474
309,996.74,1003.05,I think it's going to end up being sort of elementary because we're not going to probably use it to change anything.,0.464
310,1005.46,1020.41,I'm going to write up our results on the board so this will be a way for us to go through and decide if we review where we stand with it.,0.7474
311,1022.25,1027.1,"sort of bringing together two things, sort of design goals and also the market research that we had.",0.7645
312,1027.66,1033.65,"When we rate this, one is high in succeeding or fitting to our original aim and seven is low.",0.7693
313,1034.03,1034.31,Okay.,0.54
314,1034.41,1034.59,Okay.,0.567
315,1035.15,1040.52,"So these are, and we've been asked to collectively rate this.",0.823
316,1040.54,1044.77,So what we can do is try and just work on a consensus system.,0.7273
317,1045.4,1046.62,We just come to an agreement.,0.7663
318,1046.81,1047.95,OK. OK.,0.8515
319,1047.97,1051.71,"So the first one, stylish look and feel.",0.8461
320,1052.77,1053.73,I rate that pretty highly.,0.7956
321,1053.97,1054.25,"Well, yeah.",0.138
322,1054.27,1057.1,"I mean, compared to most remote controls, you say that's pretty good.",0.5558
323,1057.74,1059.26,"I don't know, like a six or something.",0.6593
324,1060.2,1060.3,Yeah.,0.0
325,1060.32,1061.26,What does anybody else think?,0.365
326,1061.28,1061.5,Yeah.,0.637
327,1061.52,1065.21,My only reservation was that we basically went with yellow because it's the company's color.,0.7701
328,1065.75,1067.51,And I don't know if yellow is going to really be a hit.,0.5664
329,1070.81,1071.3,OK.,0.823
330,1071.6,1072.3,I'm going to provide that.,0.2638
331,1073.18,1073.86,What do you guys think?,0.4578
332,1074.02,1075.37,I would say five or six.,0.9285
333,1075.89,1077.56,Okay.,0.711
334,1077.58,1078.18,I'm fine with that.,0.3095
335,1078.2,1079.26,"Okay, let's go with five then.",0.426
336,1080.44,1081.33,Okay.,0.326
337,1081.35,1083.17,"It's one to seven, right?",0.6352
338,1083.54,1084.62,"Oh yes, sorry then.",0.7423
339,1084.8,1086.57,Then I would say two or three.,0.7783
340,1088.35,1089.17,"Wait, what's the scale?",0.7503
341,1089.25,1089.83,One is seven.,0.69
342,1091.09,1091.81,One is high.,0.7993
343,1093.08,1093.86,"Okay, yeah, two or three.",0.4412
344,1095.86,1096.82,Okay.,0.467
345,1096.88,1098.04,Okay.,0.609
346,1100.77,1103.93,Control high tech innovation.,0.6965
347,1106.13,1109.94,"So we've had to remove a few of our features we wanted, but jog dial.",0.795
348,1110.98,1119.94,I'd say it's more medium but going towards a little bit higher than medium.,0.6231
349,1122.56,1126.36,The style reflects a fruit-inspired color design.,0.5919
350,1126.44,1128.52,I shouldn't have said color.,0.4534
351,1128.68,1134.45,The blue colors don't actually represent the color except for the red button.,0.8263
352,1135.17,1137.9,"But the yellow, I mean it could be a yellow color.",0.57
353,1137.96,1142.16,"The yellow is more representative of the color, but the button itself, the blue, can be anything else.",0.7919
354,1142.18,1143.59,"Okay, so two.",0.7683
355,1146.93,1151.52,"And design is simple to use, simple in features.",0.7659
356,1151.93,1154.24,"Well, yeah, it's really basic looking, isn't it?",0.5795
357,1154.26,1155.58,"I mean, I'd give that nearly a one.",0.6062
358,1156.12,1157.64,You guys think?,0.56
359,1158.14,1158.54,"Yeah, one.",0.649
360,1158.56,1159.29,"Yeah, one.",0.7
361,1159.31,1159.83,That's fine.,0.6695
362,1163.97,1164.87,Soft and spongy.,0.8633
363,1165.09,1165.75,We've achieved that.,0.4127
364,1166.01,1167.8,We've used mostly plastic in the end.,0.8213
365,1167.82,1171.46,So it's going to be quite a bit of a compromise for price.,0.7312
366,1172.2,1172.46,Five?,0.881
367,1175.19,1175.91,That's really low.,0.6837
368,1176.31,1177.59,We'll have to use our plastics.,0.4518
369,1177.73,1178.57,"Yeah, I suppose.",0.543
370,1180.63,1180.69,OK.,0.333
371,1181.57,1182.03,Yeah.,0.44
372,1182.05,1185.07,Could we have used an entirely rubber frame to it?,0.5213
373,1185.09,1186.73,Is that an option?,0.664
374,1186.83,1190.72,It'll be cost more than plastic.,0.4822
375,1190.76,1192.3,"Logo, we've got it in there, haven't we?",0.754
376,1192.52,1193.9,Yep.,0.745
377,1193.92,1196.1,"Going to have that on the side, aren't we?",0.4597
378,1198.78,1200.62,And it's within budget.,0.6315
379,1200.64,1201.51,Yep.,0.625
380,1201.53,1202.09,"It is, isn't it?",0.5157
381,1202.11,1202.35,Yeah.,0.608
382,1203.35,1210.39,"OK, so we can say then that out of a possible or what be our goal here,",0.5526
383,1210.64,1212.07,"Out of 49, I guess?",0.5848
384,1212.09,1215.11,"Yeah, out of 49 with zero being highest.",0.7961
385,1217.81,1222.94,"We are at two, seven, eight, 10, 15.5.",0.6764
386,1222.96,1227.53,It's pretty good.,0.5603
387,1227.87,1228.33,It's pretty good.,0.5713
388,1230.39,1239.81,Translate to something like about approximately 72% efficacy of our original goal.,0.813
389,1240.95,1241.21,Right?,0.797
390,1242.87,1250.4,"I think, because if you turn that into 100, it would be about... Twice that.",0.7878
391,1250.42,1251.4,About 31.,0.5305
392,1252.52,1253.72,And then invert that.,0.9272
393,1254.16,1255.85,"So, yeah, well, you have a 69, 70%.",0.6962
394,1256.05,1257.23,"Oh, right, about 70%.",0.7567
395,1259.37,1260.85,It's pretty good.,0.3173
396,1260.87,1261.99,"Okay, good.",0.411
397,1262.01,1264.7,That was just a little formality for us to go through.,0.7359
398,1264.9,1275.97,"Nobody saw it, honestly.",0.805
399,1275.99,1277.35,The cameras did.,0.845
400,1277.94,1279.54,Is that you have finished it?,0.5015
401,1279.56,1280.58,"Yeah, that's me.",0.836
402,1280.64,1283.05,I did have one other frame.,0.8965
403,1283.09,1292.7,"I thought, I mean, not knowing how we would deal with this information, I thought, OK, in theory, this kind of process would be about refining our design, revisiting our original goals.",0.8265
404,1293.26,1297.8,"It's not something I need to push through, but I thought, should we thinking more about the dimensions?",0.6945
405,1299.3,1304.39,Sort of like more of a three-dimensional shapes as well as opposed to just that flat.,0.7845
406,1304.37,1313.17,"Could our design involve a series of colors that is more of like a line where we have like sort of the, I don't know, like the harvest line or the vibrant, I don't know, whatever.",0.7287
407,1313.19,1317.16,"Just some theme and then we have different tones, lime, green, lemon.",0.6685
408,1317.94,1318.32,Okay.,0.71
409,1318.4,1319.04,It's just discussion.,0.704
410,1319.08,1320.7,"I mean, obviously we can just abandon this and it's fine.",0.3667
411,1321.74,1323.59,Just thinking about what we originally set out to do.,0.7378
412,1325.17,1325.51,Right.,0.399
413,1326.11,1326.99,Yep.,0.753
414,1327.67,1329.33,"Okay, great.",0.8
415,1329.73,1331.57,Are you submitting the,0.6567
416,1332.9,1335.89,"The evaluation criteria, where am I?",0.6113
417,1335.91,1339.69,I don't know what your instructions have been.,0.475
418,1339.71,1342.8,I think they've recorded and I haven't been asked to submit it yet.,0.4339
419,1343.5,1344.84,Okay.,0.681
420,1345.64,1348.65,Just wondering if I need to include it in the minutes because if you're submitting it anyway.,0.4565
421,1348.67,1348.95,I will.,0.6225
422,1348.97,1349.09,Yeah.,0.456
423,1349.41,1352.7,"Okay, great.",0.3645
424,1353.12,1353.4,Right.,0.751
425,1354.28,1359.15,"Well, next up then, because we've done finance is the project evaluation.",0.8571
426,1360.76,1367.44,"I'm listening, I'm just trying to incorporate the logo into the thing, so I'm playing with the Play-Doh as well.",0.6826
427,1367.46,1368.99,Just in case you're wondering.,0.6876
428,1369.01,1370.35,She's still playing with the Play-Doh.,0.4313
429,1387.48,1414.41,"Right, OK. Well, do you want to just individually say what you think about these four points and not those four points, my four points, sorry.",0.6939
430,1417.06,1438.32,I like those printer cables that just have the two little butterfly clips.,0.6486
431,1438.34,1440.83,"Yeah, it's really quick.",0.256
432,1440.85,1442.83,"Right, OK. Yeah, here we are.",0.6515
433,1442.85,1445.95,We'll do this.,0.8517
434,1447.23,1449.93,alphabetically and to the start.,0.6976
435,1449.95,1450.21,Sure.,0.646
436,1451.64,1453.44,So what is it you're asking of me now?,0.729
437,1453.46,1454.4,I don't know.,0.8483
438,1454.44,1458.11,Your opinion on those four points really and how we use them.,0.6562
439,1458.12,1459.81,Sort of our work on setting this up.,0.7265
440,1459.83,1461.37,Yeah.,0.373
441,1461.39,1464.23,"Well, okay, I'll just go through your system then.",0.6624
442,1464.27,1472.34,"The room is fairly institutional, but the main thing is I think",0.8134
443,1473.47,1488.51,Our use of the space is more just to report on things as opposed to be creative and constructive and would probably help to have sort of a cumulative effect of we have ideas and we come back and then the ideas are still in discussion.,0.802
444,1488.99,1502.33,You know as in other words this room is sort of a center point of creativity whereas in reality as we've gone through this it's not really a center point of creativity it's more just a... Do you feel that you were able to have quite a lot of creative input into the...,0.7319
445,1502.36,1506.47,"Yeah, yeah, but that's just the thing is the question in terms of the first point there, the room.",0.7101
446,1506.95,1512.14,It feels as though the creativity goes on and we leave and then we come here and then we kind of put out our ideas and then...,0.6573
447,1512.16,1515.47,I don't think it means the room as in this room.,0.6933
448,1515.49,1519.44,"I think it means like, you know... Oh, right, right, all right.",0.6442
449,1519.42,1522.4,"All right, I just looked up and said, OK, whiteboard, digital pens, the room.",0.6133
450,1523.07,1523.25,"Oh, yeah.",0.033
451,1523.27,1524.01,"No, of course, yeah.",0.834
452,1524.05,1524.63,"Well, I don't know.",0.553
453,1524.67,1529.17,I think it means did you feel you were able to give creative input?,0.5596
454,1529.19,1529.63,Yeah.,0.585
455,1529.81,1544.89,"OK, answering the question in those terms, I'd say that actually there is sort of a tease of creativity because we're asked to work through this, but actually the guidelines are fairly contrived in terms of",0.8175
456,1544.87,1552.68,"Okay, fashion trends, say fruit and vegetable color scheme, but then we're told to use the company colors.",0.6734
457,1553.12,1553.66,So what do we do?,0.7304
458,1554.09,1560.58,"We're told to think in terms of style and look and feel and technology, but build something for 12 and a half pounds.",0.6899
459,1561.0,1561.36,Okay.,0.693
460,1561.38,1568.65,So actually the creativity was more of like a sort of a formality than,0.7619
461,1568.63,1571.19,You feel like you're caged within whatever.,0.6224
462,1571.35,1572.88,It's like a balloon in a cage.,0.7929
463,1572.9,1574.66,It can only go so big if not hit the site.,0.6865
