annotation_id,meeting_id,segment_id,start,end,speaker_id,transcript,final_score
96,ES2002d,520,18:49.500,18:52.500,SPEAKER_02,colors don't actually represent the color except,0.158424
97,ES2003c,265,8:09.000,8:12.000,SPEAKER_03,a certain transmission through the infrared whereas I,0.196279
98,ES2002a,417,16:16.500,16:19.500,SPEAKER_03,"wrap up, the next meeting is going",0.234749
99,ES2002c,547,17:03.000,17:06.000,SPEAKER_01,"three things, cost, complexity and the",0.049498
100,ES2003a,313,15:03.000,15:06.000,SPEAKER_01,So perhaps one that was more,0.242504
101,ES2002b,722,24:06.000,24:09.000,SPEAKER_01,"I think in the back of our minds, we know what the basics are.",0.273315
102,ES2004c,907,28:42.000,28:45.000,SPEAKER_01,do with fruit. So I wouldn't say the design should be like a fruit.,0.63188
103,ES2004b,878,28:04.500,28:07.500,SPEAKER_03,"the 17th, things like that, so you don't have to",0.350465
104,ES2003d,2,0:19.500,0:22.500,SPEAKER_00,"the small delay,",0.305619
105,ES2002b,543,18:30.000,18:33.000,SPEAKER_00,if we want something that looks good and,0.095897
106,ES2003a,180,11:13.500,11:16.500,SPEAKER_00,qualities in an animal.,0.289284
107,ES2002c,876,25:58.500,26:01.500,SPEAKER_02,back to the color. You said,0.323377
108,ES2002d,1019,35:09.000,35:12.000,SPEAKER_03,I like to have things written down in front,0.503993
109,ES2003a,202,11:55.500,11:58.500,SPEAKER_00,"one then, yeah, awful lot need to be",0.118879
110,ES2002d,523,18:54.000,18:57.000,SPEAKER_02,"button. But the yellow, I mean it could",0.182033
111,ES2002a,389,15:33.000,15:36.000,SPEAKER_02,that sort of like like on a blender or,0.034196
112,ES2004d,49,2:31.500,2:34.500,SPEAKER_00,It's going to have a,0.030732
113,ES2004c,950,30:13.500,30:16.500,SPEAKER_02,"means that there's no function for the port,",0.500338
114,ES2002a,161,7:24.000,7:27.000,SPEAKER_02,"Probably when he was little, he got lots of attention for",0.492151
115,ES2003c,975,28:46.500,28:49.500,SPEAKER_03,the LCD and then maybe look up different names,0.160728
116,ES2004d,827,30:58.500,31:01.500,SPEAKER_01,it's good like we spend times,0.332297
117,ES2002c,741,22:09.000,22:12.000,SPEAKER_02,power a light in this? Can we get a strong,0.180555
118,ES2004d,458,15:39.000,15:42.000,SPEAKER_03,And we're happy with the costs on,0.316131
119,ES2003a,169,10:57.000,11:00.000,SPEAKER_00,"call the best drawing in the world, but it'll do for now. Also",0.111149
120,ES2004c,135,5:19.500,5:22.500,SPEAKER_03,which relates to very personal preferences among,0.027718
121,ES2004d,672,25:24.000,25:27.000,SPEAKER_03,found and the consensus that we've come to as a result of,0.056423
122,ES2002c,79,2:51.000,2:54.000,SPEAKER_02,just see where,0.373902
123,ES2002c,698,20:58.500,21:01.500,SPEAKER_01,profit. And also the time to market and,0.035139
124,ES2002b,942,30:09.000,30:12.000,SPEAKER_01,and putting it into your controller. But unless the controller's,0.320498
125,ES2002d,264,9:45.000,9:48.000,SPEAKER_02,you could take away the LCD panel and advance,0.070621
126,ES2002d,1044,35:49.500,35:52.500,SPEAKER_01,process in a natural context,0.083136
127,ES2004c,477,16:13.500,16:16.500,SPEAKER_00,a standby mode while not being used.,0.294171
128,ES2002b,40,1:55.500,1:58.500,SPEAKER_00,"tele-text very much anymore, so we don't really need to consider",0.196316
129,ES2002d,186,6:28.500,6:31.500,SPEAKER_03,Is there anything else that,0.028056
130,ES2002c,134,4:16.500,4:19.500,SPEAKER_02,"and not, and specify not a functional look",0.056871
131,ES2002d,586,21:31.500,21:34.500,SPEAKER_01,revisiting our original goals. It's not something I need,0.185314
132,ES2002b,465,16:13.500,16:16.500,SPEAKER_03,sort of a review here of the,0.159263
133,ES2003a,379,16:52.500,16:55.500,SPEAKER_03,"know, of games, but is that",0.286179
134,ES2004b,314,11:12.000,11:15.000,SPEAKER_01,punch in these two features together. So,0.351667
135,ES2002b,735,24:25.500,24:28.500,SPEAKER_01,have a design that's there as a basic.,0.624184
136,ES2002c,1103,33:58.500,34:01.500,SPEAKER_01,like backlighting the buttons and,0.147162
137,ES2003b,549,16:15.000,16:18.000,SPEAKER_04,If you go,0.074668
138,ES2003c,342,10:27.000,10:30.000,SPEAKER_00,thumb to use the joystick easily.,0.03171
139,ES2004d,633,23:58.500,24:01.500,SPEAKER_00,make one difference. The biggest one would be,0.007871
140,ES2004d,720,27:12.000,27:15.000,SPEAKER_02,got us covered for the electronics then? We don't need,0.510771
141,ES2002d,754,27:12.000,27:15.000,SPEAKER_02,you feel comfortable to communicate.,0.619089
142,ES2002b,448,15:43.500,15:46.500,SPEAKER_03,was showing us some ideas that we actually try and group,0.00411
143,ES2003a,238,12:52.500,12:55.500,SPEAKER_02,the different The different things that are,0.253719
144,ES2003d,259,8:30.000,8:33.000,SPEAKER_02,to go to the TV manually.,0.388046
145,ES2004c,842,26:51.000,26:54.000,SPEAKER_02,the ones that we use all the time are on the bottom,0.448112
146,ES2004a,198,9:24.000,9:27.000,SPEAKER_02,"fine. Right. Finance wise,",0.397203
147,ES2004c,866,27:36.000,27:39.000,SPEAKER_01,findings are too many cluttered buttons. The,0.505015
148,ES2004c,1000,31:51.000,31:54.000,SPEAKER_02,"Okay, so we've",0.203578
149,ES2004d,131,4:45.000,4:48.000,SPEAKER_00,The standard transmission with the TV,0.011816
150,ES2002d,425,15:34.500,15:37.500,SPEAKER_03,for that first.,0.183369
151,ES2003c,753,22:16.500,22:19.500,SPEAKER_01,"going to use spongy, we can say it's long-lasting. It's",0.017367
152,ES2002b,620,20:58.500,21:01.500,SPEAKER_00,of expendable income to,0.307317
153,ES2002c,64,2:00.000,2:03.000,SPEAKER_00,final objective of this meeting is to,0.03809
154,ES2004b,183,6:30.000,6:33.000,SPEAKER_00,to send the information. Now these,0.087621
155,ES2004b,38,2:09.000,2:12.000,SPEAKER_03,might I have a,0.175851
156,ES2002a,483,18:10.500,18:13.500,SPEAKER_00,much you can cram into that price.,0.04622
157,ES2003b,925,27:06.000,27:09.000,SPEAKER_01,could separate us a bit. and that way,0.011232
158,ES2004c,1183,38:06.000,38:09.000,SPEAKER_02,about. But I think we'll find out more about,0.452204
159,ES2003d,1094,35:24.000,35:27.000,SPEAKER_00,"guess, as to who the costs involved.",0.437512
160,ES2002a,241,10:12.000,10:15.000,SPEAKER_02,might not be such a big,0.053981
161,ES2004d,4,0:42.000,0:45.000,SPEAKER_02,because it can come in various,0.490917
162,ES2004b,475,16:00.000,16:03.000,SPEAKER_02,particularly frustrated by that. 34% of,0.730762
163,ES2003c,56,1:40.500,1:43.500,SPEAKER_03,these from elsewhere or will,0.021407
164,ES2003d,641,20:09.000,20:12.000,SPEAKER_03,What is a sample speaker? Is,0.041056
165,ES2004d,346,11:40.500,11:43.500,SPEAKER_01,"The first one rating, I'm sorry. Can you",0.47018
166,ES2002b,310,11:03.000,11:06.000,SPEAKER_03,pick up and...,0.377373
167,ES2004d,28,1:18.000,1:21.000,SPEAKER_02,buttons that we'll use will be anti-RSI.,0.591973
168,ES2002b,624,21:07.500,21:10.500,SPEAKER_01,those are people who use a computer. who are familiar,0.109798
169,ES2003b,327,9:16.500,9:19.500,SPEAKER_03,OK. OK. This is a brief run,0.108484
170,ES2003d,893,29:31.500,29:34.500,SPEAKER_03,your whole seven points from these things So,0.202967
171,ES2002c,1018,31:00.000,31:03.000,SPEAKER_00,"into head of the snowman, body of the snowman, inside of the",0.137656
172,ES2002b,398,14:28.500,14:31.500,SPEAKER_03,A lot of this is new to me. So we'll just read,0.101507
173,ES2003d,1076,34:55.500,34:58.500,SPEAKER_02,like it was twice the assembly,0.305262
174,ES2003b,553,16:21.000,16:24.000,SPEAKER_04,"It was a mess. I was just putting, I think it's",0.520607
175,ES2003c,270,8:16.500,8:19.500,SPEAKER_03,more powerful chip. Just compared to the chip you,0.019417
176,ES2003c,518,15:34.500,15:37.500,SPEAKER_02,it would need to be articulated just,0.112585
177,ES2004d,229,7:48.000,7:51.000,SPEAKER_03,market research. So this is the,0.153183
178,ES2003a,70,2:07.500,2:10.500,SPEAKER_00,the last one is a detailed analysis of our,0.029227
179,ES2004d,233,7:54.000,7:57.000,SPEAKER_03,as we saw in our previous meeting was based on the,0.165214
180,ES2004d,430,14:31.500,14:34.500,SPEAKER_02,"Well, the type of button that we're",0.248192
