annotation_id,meeting_id,segment_id,start,end,speaker_id,transcript,annotator_1,annotator_2,annotator_3,notes
30,ES2004a,29,01:46.5,01:49.5,SPEAKER_02,"project plan, discuss our own ideas and",0,,,
31,ES2004d,663,25:07.5,25:10.5,SPEAKER_00,because they were saying they were quite willing to pay more for,0,,,
32,ES2002a,409,16:03.0,16:06.0,SPEAKER_02,"of not having, you know, these days things in people's",0,,,
33,ES2004b,1185,37:33.0,37:36.0,SPEAKER_03,that with the design of it.,0,,,
34,ES2004b,1189,37:43.5,37:46.5,SPEAKER_03,talked about there being an alarm or,0,,,
35,ES2004b,854,27:22.5,27:25.5,SPEAKER_03,"program on you want to put record on, that's",0,,,
36,ES2002d,101,02:51.0,02:54.0,SPEAKER_02,"this size, right? So",0,,,
37,ES2003b,1085,31:51.0,31:54.0,SPEAKER_01,LCD screen requires too much power,0,,,
38,ES2002d,539,19:30.0,19:33.0,SPEAKER_01,of a compromise for price. Five?,0,,,
39,ES2004b,1193,37:49.5,37:52.5,SPEAKER_03,learning how to use it should be as simple,0,,,
40,ES2002b,166,06:18.0,06:21.0,SPEAKER_02,could be pulled out from the bottom,0,,,
41,ES2004c,33,02:12.0,02:15.0,SPEAKER_02,couldn't use teletext. It wasn't going to be,0,,,
42,ES2003c,792,23:16.5,23:19.5,SPEAKER_03,"if we can get next year, then that's possibly",0,,,
43,ES2002c,978,29:43.5,29:46.5,SPEAKER_01,"in lights is cheap, but putting an LCD panel just to make it glow is a",1,,,
44,ES2002d,116,03:28.5,03:31.5,SPEAKER_03,good. So 10,0,,,
45,ES2003d,727,23:28.5,23:31.5,SPEAKER_03,"good. Okay, that's what I'm doing so badly. Easy",1,,,humor/sarcasm
46,ES2002b,665,22:21.0,22:24.0,SPEAKER_01,speech recognition is not good for this. Sure. Okay.,0,,,
47,ES2003d,695,22:21.0,22:24.0,SPEAKER_00,OK. And we can see we'll come,0,,,
48,ES2004c,353,12:33.0,12:36.0,SPEAKER_00,calculators you don't really throw around a,0,,,
49,ES2004b,847,27:10.5,27:13.5,SPEAKER_03,"in times, things like that.",0,,,
50,ES2004c,902,28:34.5,28:37.5,SPEAKER_01,My personal preferences,0,,,
51,ES2004c,1160,37:22.5,37:25.5,SPEAKER_02,just address that with advertising. You associate the name,0,,,
52,ES2004b,167,06:06.0,06:09.0,SPEAKER_00,the batteries because otherwise it's not going to work. As,0,,,
53,ES2004b,1101,34:52.5,34:55.5,SPEAKER_02,"it kind of, yeah, and that opens out into your flip top, then",0,,,
54,ES2003c,32,01:01.5,01:04.5,SPEAKER_03,be able to be fairly adventurous in the actual physical,0,,,
55,ES2002b,1138,35:40.5,35:43.5,SPEAKER_00,"of who we're, you know, targeting this at.",0,,,
56,ES2003c,275,08:25.5,08:28.5,SPEAKER_03,Should I go,0,,,
57,ES2003b,903,26:25.5,26:28.5,SPEAKER_01,"seen those odd little key rings where if you whistle, it will beep",0,,,
58,ES2002b,110,04:39.0,04:42.0,SPEAKER_02,I would like to ask you guys for your,0,,,
59,ES2003d,602,18:49.5,18:52.5,SPEAKER_03,interface? Because we have restrictions,0,,,
60,ES2004b,827,26:37.5,26:40.5,SPEAKER_02,"first of all, where the main purchasing power is",0,,0,
61,ES2004b,678,22:06.0,22:09.0,SPEAKER_03,coming out now have kind of big rubber,0,,0,
62,ES2002d,61,01:39.0,01:42.0,SPEAKER_02,"to the advanced functions, so the",0,,0,
63,ES2003b,1024,29:51.0,29:54.0,SPEAKER_03,other design constraint I think we should bear,0,,0,
64,ES2002c,655,19:54.0,19:57.0,SPEAKER_01,"I said, you probably need like a battery and something else.",0,,0,
65,ES2004d,392,13:19.5,13:22.5,SPEAKER_03,of materials for your prototype here. Yeah. Is this actually going,0,,0,
66,ES2002d,596,21:46.5,21:49.5,SPEAKER_01,is more of like a line where we have like sort of,0,,0,
67,ES2003b,135,04:09.0,04:12.0,SPEAKER_00,"to load a DVD player recently, and there",0,,0,
68,ES2002c,30,00:52.5,00:55.5,SPEAKER_00,"teletext, ignoring everything except the TV, and",0,,0,
69,ES2004d,566,20:25.5,20:28.5,SPEAKER_01,"think rubber, since it's being used just as",0,,0,
70,ES2004b,858,27:28.5,27:31.5,SPEAKER_03,"not sure if you're going to, you put the number in. And",0,,0,
71,ES2004d,632,23:57.0,24:00.0,SPEAKER_00,"the standard, it would make one difference.",0,,0,
72,ES2003d,595,18:36.0,18:39.0,SPEAKER_01,and would be made in two parts and,0,,0,
73,ES2003c,387,11:54.0,11:57.0,SPEAKER_02,dump them all. I wasn't very impressed by,0,,1,
74,ES2003d,415,12:58.5,13:01.5,SPEAKER_00,You now have as much,1,,1,sarcasm
75,ES2003c,1127,33:15.0,33:18.0,SPEAKER_03,it that often or they're maybe looking to,0,,0,
76,ES2004b,719,23:16.5,23:19.5,SPEAKER_00,they had to make two different sized,0,,0,
77,ES2004c,32,02:10.5,02:13.5,SPEAKER_02,in that we couldn't use teletext.,0,,0,
78,ES2004b,538,17:46.5,17:49.5,SPEAKER_03,"to be combined control, which limits",0,,0,
79,ES2002d,463,16:42.0,16:45.0,SPEAKER_01,it to change anything.,0,,0,
80,ES2003c,410,12:30.0,12:33.0,SPEAKER_02,what we basically decided on was,0,,0,
81,ES2002b,311,11:18.0,11:21.0,SPEAKER_03,Can you go,1,,1,humor
82,ES2004a,46,02:12.0,02:15.0,SPEAKER_02,but not a hunk of metal.,0,,0,
83,ES2002a,236,10:04.5,10:07.5,SPEAKER_02,basic product positioning. The 25,0,,0,
84,ES2004d,76,03:13.5,03:16.5,SPEAKER_00,the top LCD screen,0,,0,
85,ES2003c,427,12:55.5,12:58.5,SPEAKER_02,through channels. So if there's something.,0,,0,
86,ES2004b,646,21:01.5,21:04.5,SPEAKER_03,for it to look good.,0,,0,
87,ES2004a,232,10:40.5,10:43.5,SPEAKER_03,did say earlier it's got to be accessible and usable,0,,0,
88,ES2002d,672,24:46.5,24:49.5,SPEAKER_01,the ideas are still in discussion. You know,0,,0,
89,ES2004a,91,04:54.0,04:57.0,SPEAKER_01,Maybe you can guess what I'm trying to make.,0,,0,
90,ES2002c,958,29:01.5,29:04.5,SPEAKER_00,"is it, putting fashion into electronics or something, I don't know.",0,,0,
91,ES2002c,678,20:28.5,20:31.5,SPEAKER_01,"the, you know. So, okay, my,",0,,0,
92,ES2003c,1243,36:42.0,36:45.0,SPEAKER_03,the rubber could be quite... Yeah.,0,,0,
93,ES2002c,403,12:12.0,12:15.0,SPEAKER_03,always red. It really should be. It's something that the user then,0,,1,
94,ES2002b,974,31:04.5,31:07.5,SPEAKER_02,used to say it was going to be the most basic,0,,1,
95,ES2004a,338,13:40.5,13:43.5,SPEAKER_02,even dream of texting or something like that.,0,,0,
96,ES2002d,520,18:49.5,18:52.5,SPEAKER_02,colors don't actually represent the color except,0,,0,
97,ES2003c,265,08:09.0,08:12.0,SPEAKER_03,a certain transmission through the infrared whereas I,0,,0,
98,ES2002a,417,16:16.5,16:19.5,SPEAKER_03,"wrap up, the next meeting is going",0,,0,
99,ES2002c,547,17:03.0,17:06.0,SPEAKER_01,"three things, cost, complexity and the",0,,0,
100,ES2003a,313,15:03.0,15:06.0,SPEAKER_01,So perhaps one that was more,0,,0,
101,ES2002b,722,24:06.0,24:09.0,SPEAKER_01,"I think in the back of our minds, we know what the basics are.",0,,0,
102,ES2004c,907,28:42.0,28:45.0,SPEAKER_01,do with fruit. So I wouldn't say the design should be like a fruit.,0,,0,
103,ES2004b,878,28:04.5,28:07.5,SPEAKER_03,"the 17th, things like that, so you don't have to",0,,0,
104,ES2003d,2,00:19.5,00:22.5,SPEAKER_00,"the small delay,",0,,0,
105,ES2002b,543,18:30.0,18:33.0,SPEAKER_00,if we want something that looks good and,0,,0,
106,ES2003a,180,11:13.5,11:16.5,SPEAKER_00,qualities in an animal.,0,,0,
107,ES2002c,876,25:58.5,26:01.5,SPEAKER_02,back to the color. You said,0,,0,
108,ES2002d,1019,35:09.0,35:12.0,SPEAKER_03,I like to have things written down in front,0,,0,
109,ES2003a,202,11:55.5,11:58.5,SPEAKER_00,"one then, yeah, awful lot need to be",0,,1,
110,ES2002d,523,18:54.0,18:57.0,SPEAKER_02,"button. But the yellow, I mean it could",0,,0,
111,ES2002a,389,15:33.0,15:36.0,SPEAKER_02,that sort of like like on a blender or,0,,0,
112,ES2004d,49,02:31.5,02:34.5,SPEAKER_00,It's going to have a,0,,0,
113,ES2004c,950,30:13.5,30:16.5,SPEAKER_02,"means that there's no function for the port,",0,,0,
114,ES2002a,161,07:24.0,07:27.0,SPEAKER_02,"Probably when he was little, he got lots of attention for",0,,0,
115,ES2003c,975,28:46.5,28:49.5,SPEAKER_03,the LCD and then maybe look up different names,0,,0,
116,ES2004d,827,30:58.5,31:01.5,SPEAKER_01,it's good like we spend times,0,,0,
117,ES2002c,741,22:09.0,22:12.0,SPEAKER_02,power a light in this? Can we get a strong,0,,0,
118,ES2004d,458,15:39.0,15:42.0,SPEAKER_03,And we're happy with the costs on,1,,1,says happy but doesn't sound happy; sounds monotone
119,ES2003a,169,10:57.0,11:00.0,SPEAKER_00,"call the best drawing in the world, but it'll do for now. Also",1,,0,sarcasm
120,ES2004c,135,05:19.5,05:22.5,SPEAKER_03,which relates to very personal preferences among,0,,0,
121,ES2004d,672,25:24.0,25:27.0,SPEAKER_03,found and the consensus that we've come to as a result of,,0,,
122,ES2002c,79,02:51.0,02:54.0,SPEAKER_02,just see where,,0,,
123,ES2002c,698,20:58.5,21:01.5,SPEAKER_01,profit. And also the time to market and,,0,,
124,ES2002b,942,30:09.0,30:12.0,SPEAKER_01,and putting it into your controller. But unless the controller's,,0,,
125,ES2002d,264,09:45.0,09:48.0,SPEAKER_02,you could take away the LCD panel and advance,,0,,
126,ES2002d,1044,35:49.5,35:52.5,SPEAKER_01,process in a natural context,,0,,
127,ES2004c,477,16:13.5,16:16.5,SPEAKER_00,a standby mode while not being used.,,0,,
128,ES2002b,40,01:55.5,01:58.5,SPEAKER_00,"tele-text very much anymore, so we don't really need to consider",,0,,
129,ES2002d,186,06:28.5,06:31.5,SPEAKER_03,Is there anything else that,,0,,
130,ES2002c,134,04:16.5,04:19.5,SPEAKER_02,"and not, and specify not a functional look",,0,,
131,ES2002d,586,21:31.5,21:34.5,SPEAKER_01,revisiting our original goals. It's not something I need,,0,,
132,ES2002b,465,16:13.5,16:16.5,SPEAKER_03,sort of a review here of the,,0,,
133,ES2003a,379,16:52.5,16:55.5,SPEAKER_03,"know, of games, but is that",,0,,
134,ES2004b,314,11:12.0,11:15.0,SPEAKER_01,punch in these two features together. So,,0,,
135,ES2002b,735,24:25.5,24:28.5,SPEAKER_01,have a design that's there as a basic.,,0,,
136,ES2002c,1103,33:58.5,34:01.5,SPEAKER_01,like backlighting the buttons and,,0,,
137,ES2003b,549,16:15.0,16:18.0,SPEAKER_04,If you go,,0,,
138,ES2003c,342,10:27.0,10:30.0,SPEAKER_00,thumb to use the joystick easily.,,0,,
139,ES2004d,633,23:58.5,24:01.5,SPEAKER_00,make one difference. The biggest one would be,,1,,
140,ES2004d,720,27:12.0,27:15.0,SPEAKER_02,got us covered for the electronics then? We don't need,,0,,
141,ES2002d,754,27:12.0,27:15.0,SPEAKER_02,you feel comfortable to communicate.,,0,,
142,ES2002b,448,15:43.5,15:46.5,SPEAKER_03,was showing us some ideas that we actually try and group,,0,,
143,ES2003a,238,12:52.5,12:55.5,SPEAKER_02,the different The different things that are,,0,,
144,ES2003d,259,08:30.0,08:33.0,SPEAKER_02,to go to the TV manually.,,0,,
145,ES2004c,842,26:51.0,26:54.0,SPEAKER_02,the ones that we use all the time are on the bottom,,0,,
146,ES2004a,198,09:24.0,09:27.0,SPEAKER_02,"fine. Right. Finance wise,",,0,,
147,ES2004c,866,27:36.0,27:39.0,SPEAKER_01,findings are too many cluttered buttons. The,,0,,
148,ES2004c,1000,31:51.0,31:54.0,SPEAKER_02,"Okay, so we've",,0,,
149,ES2004d,131,04:45.0,04:48.0,SPEAKER_00,The standard transmission with the TV,,0,,
150,ES2002d,425,15:34.5,15:37.5,SPEAKER_03,for that first.,,0,,
151,ES2003c,753,22:16.5,22:19.5,SPEAKER_01,"going to use spongy, we can say it's long-lasting. It's",,0,,
152,ES2002b,620,20:58.5,21:01.5,SPEAKER_00,of expendable income to,,0,,
153,ES2002c,64,02:00.0,02:03.0,SPEAKER_00,final objective of this meeting is to,,0,,
154,ES2004b,183,06:30.0,06:33.0,SPEAKER_00,to send the information. Now these,,0,,
155,ES2004b,38,02:09.0,02:12.0,SPEAKER_03,might I have a,,0,,
156,ES2002a,483,18:10.5,18:13.5,SPEAKER_00,much you can cram into that price.,,0,,
157,ES2003b,925,27:06.0,27:09.0,SPEAKER_01,could separate us a bit. and that way,,0,,
158,ES2004c,1183,38:06.0,38:09.0,SPEAKER_02,about. But I think we'll find out more about,,0,,
159,ES2003d,1094,35:24.0,35:27.0,SPEAKER_00,"guess, as to who the costs involved.",,1,,
160,ES2002a,241,10:12.0,10:15.0,SPEAKER_02,might not be such a big,,0,,
161,ES2004d,4,00:42.0,00:45.0,SPEAKER_02,because it can come in various,,0,,
162,ES2004b,475,16:00.0,16:03.0,SPEAKER_02,particularly frustrated by that. 34% of,,1,,
163,ES2003c,56,01:40.5,01:43.5,SPEAKER_03,these from elsewhere or will,,0,,
164,ES2003d,641,20:09.0,20:12.0,SPEAKER_03,What is a sample speaker? Is,,0,,
165,ES2004d,346,11:40.5,11:43.5,SPEAKER_01,"The first one rating, I'm sorry. Can you",,1,,
166,ES2002b,310,11:03.0,11:06.0,SPEAKER_03,pick up and...,,0,,
167,ES2004d,28,01:18.0,01:21.0,SPEAKER_02,buttons that we'll use will be anti-RSI.,,0,,
168,ES2002b,624,21:07.5,21:10.5,SPEAKER_01,those are people who use a computer. who are familiar,,0,,
169,ES2003b,327,09:16.5,09:19.5,SPEAKER_03,OK. OK. This is a brief run,,1,,
170,ES2003d,893,29:31.5,29:34.5,SPEAKER_03,your whole seven points from these things So,,0,,
171,ES2002c,1018,31:00.0,31:03.0,SPEAKER_00,"into head of the snowman, body of the snowman, inside of the",,0,,
172,ES2002b,398,14:28.5,14:31.5,SPEAKER_03,A lot of this is new to me. So we'll just read,,0,,
173,ES2003d,1076,34:55.5,34:58.5,SPEAKER_02,like it was twice the assembly,,0,,
174,ES2003b,553,16:21.0,16:24.0,SPEAKER_04,"It was a mess. I was just putting, I think it's",,1,,
175,ES2003c,270,08:16.5,08:19.5,SPEAKER_03,more powerful chip. Just compared to the chip you,,0,,
176,ES2003c,518,15:34.5,15:37.5,SPEAKER_02,it would need to be articulated just,,0,,
177,ES2004d,229,07:48.0,07:51.0,SPEAKER_03,market research. So this is the,,0,,
178,ES2003a,70,02:07.5,02:10.5,SPEAKER_00,the last one is a detailed analysis of our,,0,,
179,ES2004d,233,07:54.0,07:57.0,SPEAKER_03,as we saw in our previous meeting was based on the,,0,,
180,ES2004d,430,14:31.5,14:34.5,SPEAKER_02,"Well, the type of button that we're",,0,,
